"Otu000004" "Otu000005" "Otu000007" "Otu000009" "Otu000010" "Otu000012" "Otu000017" "Otu000019" "Otu000020" "Otu000022" "Otu000023" "Otu000025" "Otu000041" "Otu000042" "Otu000046" "Otu000048" "Otu000049" "Otu000058" "Otu000060" "Otu000065" "Otu000070" "Otu000075" "Otu000082" "Otu000083" "Otu000087" "Otu000094" "Otu000106" "Otu000119" "Otu000124" "Otu000135" "Otu000136" "Otu000152" "Otu000161" "Otu000162" "Otu000176" "Otu000179" "Otu000184" "Otu000192" "Otu000195" "Otu000210" "Otu000227" "Otu000244" "Otu000246" "Otu000247" "Otu000255" "Otu000261" "Otu000262" "Otu000267" "Otu000298" "Otu000302" "Otu000312" "Otu000320" "Otu000322" "Otu000323" "Otu000328" "Otu000330" "Otu000377" "Otu000379" "Otu000385" "Otu000427" "Otu000438" "Otu000506" "Otu000509" "Otu000644" "Otu000682" "Otu000715" "Otu000779" "Otu000810" "Otu000821" "Otu000833" "Otu000931" "Otu001021" "Otu001059" "Otu001142" "Otu001319" "Otu001345" "Otu001368" "Otu001451" "Otu001487" "Otu001697" "Otu001846" "Otu002189" "Otu002481"
"MBRH2F515" 0.528835448675128 0.00155867290135827 0.130260521042084 0.027833444667112 0.0398574927633044 0.0200400801603206 0.0302827877978179 0.0892896904920953 0.0111333778668448 0.000668002672010688 0.00489868626141171 0.0146960587842351 0.00289467824537965 0.000890670229347584 0.01937207748831 0.000445335114673792 0.000222667557336896 0.00222667557336896 0.01937207748831 0 0 0.00178134045869517 0.000222667557336896 0.00690269427744378 0 0.00155867290135827 0.0055666889334224 0.00244934313070586 0.00356268091739034 0 0.00244934313070586 0.00378534847472723 0.000222667557336896 0.000222667557336896 0.00334001336005344 0 0 0.000445335114673792 0.000445335114673792 0.000890670229347584 0.000445335114673792 0.00244934313070586 0.00155867290135827 0.00200400801603206 0.00378534847472723 0.000668002672010688 0.000222667557336896 0.00200400801603206 0 0 0.00133600534402138 0 0 0.000445335114673792 0 0.000668002672010688 0 0.00155867290135827 0 0 0 0 0 0.000890670229347584 0 0 0 0 0 0.000445335114673792 0 0.000445335114673792 0 0.000445335114673792 0 0 0.000890670229347584 0 0 0 0.00111333778668448 0 0
"MBRH2F915" 0.386328211979515 0.00489868626141171 0.0376308171899354 0.0409708305499889 0.0541082164328657 0.0777109775105767 0.0184814072589624 0.00823869962146515 0.0434201736806947 0.0331774660431975 0 0.00757069694945446 0.0285014473391227 0.00868403473613895 0.0135827209975507 0.0057893564907593 0.0231574259630372 0.0329547984858606 0.00512135381874861 0 0.000668002672010688 0.0289467824537965 0.00512135381874861 0.0120240480961924 0.00244934313070586 0.00200400801603206 0.00356268091739034 0.00712536183478067 0.00623469160543309 0.00445335114673792 0.00222667557336896 0.021376085504342 0.00267201068804275 0.00178134045869517 0.000668002672010688 0.00200400801603206 0 0 0.000445335114673792 0.000445335114673792 0.000222667557336896 0.0167000668002672 0.00334001336005344 0.00400801603206413 0.00111333778668448 0.00133600534402138 0.000445335114673792 0.00311734580271654 0.00111333778668448 0.00200400801603206 0.00467601870407482 0 0.000222667557336896 0.00267201068804275 0 0.00289467824537965 0 0.00311734580271654 0.00133600534402138 0 0 0.000445335114673792 0.00890670229347584 0.0057893564907593 0 0 0 0 0 0 0.000445335114673792 0 0.000445335114673792 0 0.000222667557336896 0.000222667557336896 0.000445335114673792 0 0 0 0.000222667557336896 0 0
"MDPE1F514" 0.133600534402138 0 0.152304609218437 0.0378534847472723 0.044978846582053 0.0169227343576041 0.102649743932309 0.122021821420619 0.0799376530839457 0 0.0289467824537965 0.0494321977287909 0.00445335114673792 0.00111333778668448 0.0155867290135827 0.000445335114673792 0.000890670229347584 0.00133600534402138 0.0100200400801603 0 0 0.000445335114673792 0 0.027833444667112 0.000222667557336896 0.0501002004008016 0.00801603206412826 0.0184814072589624 0.014918726341572 0.000222667557336896 0.00356268091739034 0.0057893564907593 0 0.000445335114673792 0.0109107103095079 0 0.000445335114673792 0.000222667557336896 0.00178134045869517 0.00200400801603206 0.00111333778668448 0.0104653751948341 0.000445335114673792 0.0133600534402138 0.00334001336005344 0.00289467824537965 0 0.000890670229347584 0.000445335114673792 0 0.000890670229347584 0.000222667557336896 0 0.00200400801603206 0 0.00467601870407482 0 0.00423068358940102 0 0 0 0 0.000222667557336896 0.00445335114673792 0 0 0.000668002672010688 0 0 0.000222667557336896 0 0 0 0.000445335114673792 0 0.000222667557336896 0.000222667557336896 0 0 0 0.000668002672010688 0 0
"MDPE1F714" 0.178802048541528 0.135159207303496 0.112447116455132 0.0498775328434647 0.0723669561344912 0.0365174794032509 0.0465375194834113 0.0351814740592296 0.0240480961923848 0.00445335114673792 0.00289467824537965 0.0111333778668448 0.00178134045869517 0.049209530171454 0.00734802939211757 0.0131373858828769 0.0124693832108662 0.00356268091739034 0.0140280561122244 0.000445335114673792 0 0.00111333778668448 0.0055666889334224 0.00489868626141171 0 0.00244934313070586 0.00489868626141171 0.0164773992429303 0.0242707637497217 0.000445335114673792 0 0.0164773992429303 0.00200400801603206 0.000890670229347584 0.00668002672010688 0.00823869962146515 0.000668002672010688 0 0.000222667557336896 0.000445335114673792 0.00178134045869517 0.000222667557336896 0.038521487419283 0.00935203740814963 0.000222667557336896 0.00178134045869517 0.000222667557336896 0.000445335114673792 0.00378534847472723 0.00111333778668448 0.00133600534402138 0.000445335114673792 0.000668002672010688 0.00289467824537965 0 0.0169227343576041 0.000222667557336896 0.000668002672010688 0.000222667557336896 0.00133600534402138 0 0.00111333778668448 0.00111333778668448 0.000668002672010688 0.00244934313070586 0.00267201068804275 0 0 0.00222667557336896 0 0.000222667557336896 0 0.000222667557336896 0 0 0 0 0 0 0 0 0 0
"MDPE1F914" 0.295479848586061 0.0603429080382988 0.0917390336228012 0.0485415274994433 0.0549988866622133 0.021376085504342 0.0895123580494322 0.0282787797817858 0.0547762191048764 0.00801603206412826 0.00200400801603206 0.0280561122244489 0.00133600534402138 0.00734802939211757 0.00512135381874861 0.00489868626141171 0.0394121576486306 0.00423068358940102 0.00512135381874861 0.00445335114673792 0.000445335114673792 0.00690269427744378 0.0264974393230906 0.00868403473613895 0.000668002672010688 0.00133600534402138 0.00200400801603206 0.0167000668002672 0.00957470496548653 0.000668002672010688 0.000668002672010688 0.0102427076374972 0.00356268091739034 0.00200400801603206 0.000890670229347584 0.00133600534402138 0.000222667557336896 0 0.000445335114673792 0.000445335114673792 0 0.000890670229347584 0.00289467824537965 0.00423068358940102 0.000222667557336896 0.00489868626141171 0.000445335114673792 0.000445335114673792 0.000668002672010688 0.000222667557336896 0.00445335114673792 0 0 0.00244934313070586 0.000668002672010688 0.0158093965709196 0.000890670229347584 0 0.000222667557336896 0.000890670229347584 0.000445335114673792 0.000668002672010688 0.000445335114673792 0.00757069694945446 0 0 0 0 0.000445335114673792 0 0.000445335114673792 0 0.000445335114673792 0 0 0.000222667557336896 0 0 0.000222667557336896 0 0.000222667557336896 0 0.000222667557336896
"MDPE1F715" 0.474504564684925 0.0251614339790692 0.0494321977287909 0.0380761523046092 0.0394121576486306 0.0512135381874861 0.0376308171899354 0.0391894900912937 0.0169227343576041 0.00823869962146515 0.0113560454241817 0.0184814072589624 0.00155867290135827 0.00668002672010688 0.0262747717657537 0.0057893564907593 0.0380761523046092 0.00178134045869517 0.0104653751948341 0.00111333778668448 0.00222667557336896 0.0138053885548876 0.00979737252282343 0.00601202404809619 0 0.00244934313070586 0.00178134045869517 0.00467601870407482 0.00957470496548653 0.00111333778668448 0.000890670229347584 0.00912936985081274 0.000668002672010688 0.000222667557336896 0.00155867290135827 0.00489868626141171 0.000222667557336896 0.000222667557336896 0.000222667557336896 0.000445335114673792 0.000445335114673792 0.00111333778668448 0.00111333778668448 0.00222667557336896 0.000222667557336896 0.00244934313070586 0.00178134045869517 0.000890670229347584 0.00178134045869517 0 0.00155867290135827 0 0.00111333778668448 0.00289467824537965 0 0.00334001336005344 0.00111333778668448 0.000222667557336896 0.000445335114673792 0.000668002672010688 0 0.000222667557336896 0.000668002672010688 0.000445335114673792 0.00111333778668448 0 0 0.000222667557336896 0.000668002672010688 0.000222667557336896 0.000668002672010688 0 0 0 0 0 0 0.000222667557336896 0 0 0.000445335114673792 0.000222667557336896 0.000222667557336896
"MDPE2F515" 0.461144511244712 0 0.11623246492986 0.0378534847472723 0.0480961923847695 0.0414161656646627 0.0518815408594968 0.0732576263638388 0.030060120240481 0.00111333778668448 0.00912936985081274 0.0167000668002672 0.00512135381874861 0.00222667557336896 0.017145401914941 0.000445335114673792 0.000445335114673792 0.00356268091739034 0.0124693832108662 0.000668002672010688 0.000445335114673792 0.00155867290135827 0 0.00935203740814963 0 0.00311734580271654 0.00601202404809619 0.00445335114673792 0.00601202404809619 0.00244934313070586 0.00222667557336896 0.00334001336005344 0 0 0.00690269427744378 0 0.000222667557336896 0 0.000890670229347584 0.00334001336005344 0 0.00133600534402138 0.000445335114673792 0.00489868626141171 0.00133600534402138 0.000890670229347584 0.000222667557336896 0 0.000445335114673792 0 0.00133600534402138 0 0 0.00111333778668448 0 0.00200400801603206 0 0.00289467824537965 0 0 0 0 0 0.00200400801603206 0 0 0 0 0 0 0 0 0 0 0 0.000222667557336896 0 0 0 0 0.00155867290135827 0 0
"MDPE2F915" 0.360276107771098 0.0191494099309731 0.0563348920062347 0.0376308171899354 0.038521487419283 0.0431975061233578 0.038521487419283 0.0124693832108662 0.0282787797817858 0.0118013805388555 0.00311734580271654 0.0162547316855934 0.0369628145179247 0.0182587397016255 0.0460921843687375 0.00801603206412826 0.0445335114673792 0.00734802939211757 0.00890670229347584 0.00378534847472723 0.000890670229347584 0.00823869962146515 0.027833444667112 0.0180360721442886 0.00178134045869517 0.00311734580271654 0.00356268091739034 0.00935203740814963 0.0124693832108662 0.000668002672010688 0.00445335114673792 0.0264974393230906 0.00334001336005344 0.000890670229347584 0.00133600534402138 0.00222667557336896 0.000668002672010688 0 0.00133600534402138 0.00111333778668448 0.000668002672010688 0.000445335114673792 0.00244934313070586 0.00289467824537965 0.00111333778668448 0.000445335114673792 0.00244934313070586 0.000890670229347584 0.00178134045869517 0.00111333778668448 0.00244934313070586 0 0.000445335114673792 0.00467601870407482 0 0.00244934313070586 0 0.00111333778668448 0.00200400801603206 0.00133600534402138 0 0.000445335114673792 0.000445335114673792 0 0 0 0 0.000445335114673792 0 0 0.00178134045869517 0.000222667557336896 0.000445335114673792 0 0.000222667557336896 0 0 0 0 0 0 0 0
"MDPH1F714" 0.228011578712982 0.00222667557336896 0.118013805388555 0.0244934313070586 0.0823869962146515 0.117123135159207 0.0382988198619461 0.0322867958138499 0.0563348920062347 0.0104653751948341 0.00222667557336896 0.00734802939211757 0.000222667557336896 0.00779336450679136 0.0146960587842351 0.0140280561122244 0.0218214206190158 0.0233800935203741 0.0053440213760855 0.000222667557336896 0 0.0100200400801603 0.00267201068804275 0.0133600534402138 0 0.00155867290135827 0.00222667557336896 0.0122467156535293 0.0122467156535293 0.000222667557336896 0.00356268091739034 0.00734802939211757 0.00400801603206413 0.0057893564907593 0.00222667557336896 0.00222667557336896 0 0.00244934313070586 0.00133600534402138 0.00289467824537965 0.00267201068804275 0.00957470496548653 0.00957470496548653 0.0126920507682031 0.000445335114673792 0.00222667557336896 0.00111333778668448 0.00222667557336896 0.00645735916276998 0.0057893564907593 0.0115787129815186 0 0.00133600534402138 0.00222667557336896 0.000445335114673792 0.00779336450679136 0 0.00668002672010688 0.00200400801603206 0 0.000668002672010688 0.000890670229347584 0.0155867290135827 0.000668002672010688 0.000222667557336896 0.000890670229347584 0 0.000222667557336896 0 0.000222667557336896 0 0.000222667557336896 0 0 0 0.000668002672010688 0 0.000890670229347584 0.000222667557336896 0 0.000668002672010688 0 0
"MDPH1F914" 0.164551324871966 0.00111333778668448 0.0906256958361167 0.0338454687152082 0.0772656423959029 0.141393898908929 0.0184814072589624 0.021376085504342 0.110665775996437 0.00779336450679136 0.00489868626141171 0.00912936985081274 0.000890670229347584 0.00423068358940102 0.0180360721442886 0.0113560454241817 0.0233800935203741 0.023602761077711 0.00289467824537965 0 0.000222667557336896 0.00712536183478067 0.0100200400801603 0.00623469160543309 0.00289467824537965 0.00222667557336896 0.00200400801603206 0.00935203740814963 0.0233800935203741 0.00155867290135827 0.00334001336005344 0.0126920507682031 0.0053440213760855 0.00623469160543309 0.0053440213760855 0.00200400801603206 0.000222667557336896 0.000222667557336896 0.00356268091739034 0.000890670229347584 0.00133600534402138 0.0240480961923848 0.00467601870407482 0.00890670229347584 0.000668002672010688 0.0057893564907593 0.00133600534402138 0.0180360721442886 0.00601202404809619 0.00155867290135827 0.00779336450679136 0.000222667557336896 0.000222667557336896 0.000890670229347584 0.0053440213760855 0.0120240480961924 0.000668002672010688 0.0053440213760855 0.000668002672010688 0 0.00155867290135827 0 0.00979737252282342 0.00423068358940102 0 0 0 0 0 0 0.00111333778668448 0.000222667557336896 0.000668002672010688 0.000445335114673792 0.000222667557336896 0.00133600534402138 0.000668002672010688 0.000445335114673792 0.00178134045869517 0 0.00155867290135827 0 0
